Title,Description,Category,PriorityScore
Waste accumulation reported at hospital,waste accumulation at hospital emergency situation,Waste & Sanitation,0.838
Vehicle jam reported at hospital,vehicle jam at hospital urgent action required,Traffic & Transport,0.79
Vehicle jam reported in residential area,vehicle jam in residential area immediate danger,Traffic & Transport,0.927
Health hazard reported on highway,health hazard on highway risk to public safety,Healthcare,0.751
Pipe burst reported in public park,pipe burst in public park emergency situation,Water & Drainage,0.96
Smoke reported in public park,smoke in public park urgent action required,Environment,0.942
Park bench reported at hospital,park bench at hospital emergency situation,Public Spaces,0.755
Waterlogging reported at junction,waterlogging at junction immediate danger,Water & Drainage,0.953
Vehicle jam reported on main road,vehicle jam on main road urgent action required,Traffic & Transport,0.868
Smoke reported on main road,smoke on main road immediate danger,Environment,0.933
Explosion risk reported near school,explosion risk near school high risk of injury,Public Safety,0.891
Signboard reported near school,signboard near school high risk of injury,Civic Services,0.929
Traffic congestion reported at junction,traffic congestion at junction risk to public safety,Traffic & Transport,0.904
Litter reported at bus stop,litter at bus stop serious hazard,Waste & Sanitation,0.765
Clinic issue reported near office area,clinic issue near office area emergency situation,Healthcare,0.95
Clinic issue reported on main road,clinic issue on main road risk to public safety,Healthcare,0.827
Dark street reported in residential area,dark street in residential area immediate danger,Street Lighting,0.798
Chemical spill reported in residential area,chemical spill in residential area high risk of injury,Environment,0.753
Electric wire reported on highway,electric wire on highway urgent action required,Public Safety,0.831
Dust reported in residential area,dust in residential area high risk of injury,Environment,0.974
Litter reported near market,litter near market emergency situation,Waste & Sanitation,0.897
Sewage overflow reported in residential area,sewage overflow in residential area serious hazard,Water & Drainage,0.754
Gas leak reported in public park,gas leak in public park immediate danger,Public Safety,0.782
Smoke reported on main road,smoke on main road serious hazard,Environment,0.892
Blocked road reported near school,blocked road near school urgent action required,Traffic & Transport,0.973
Gas leak reported near office area,gas leak near office area urgent action required,Public Safety,0.826
Collision reported near school,collision near school emergency situation,Traffic & Transport,0.794
Blocked road reported near school,blocked road near school urgent action required,Traffic & Transport,0.772
Public park reported on highway,public park on highway risk to public safety,Public Spaces,0.872
Footpath reported near office area,footpath near office area risk to public safety,Public Spaces,0.97
Damaged road reported at hospital,damaged road at hospital high risk of injury,Roads & Infra,0.957
Collision reported on main road,collision on main road urgent action required,Traffic & Transport,0.751
Signboard reported near office area,signboard near office area risk to public safety,Civic Services,0.931
Municipal office issue reported in public park,municipal office issue in public park risk to public safety,Civic Services,0.774
Air pollution reported at junction,air pollution at junction serious hazard,Environment,0.926
Flickering light reported near school,flickering light near school serious hazard,Street Lighting,0.898
Municipal office issue reported near office area,municipal office issue near office area risk to public safety,Civic Services,0.788
Dust reported in residential area,dust in residential area high risk of injury,Environment,0.798
Playground equipment reported near school,playground equipment near school emergency situation,Public Spaces,0.843
Ambulance delay reported at hospital,ambulance delay at hospital risk to public safety,Healthcare,0.771
Public toilet reported on highway,public toilet on highway high risk of injury,Civic Services,0.865
Blocked road reported at bus stop,blocked road at bus stop risk to public safety,Traffic & Transport,0.939
Medical waste reported at bus stop,medical waste at bus stop high risk of injury,Healthcare,0.876
Trash heap reported on main road,trash heap on main road urgent action required,Waste & Sanitation,0.781
Lamp post reported on highway,lamp post on highway immediate danger,Street Lighting,0.854
Facility damage reported near school,facility damage near school urgent action required,Civic Services,0.953
